Datum;Uhrzeit;SECCI;Temperatur;Salinität;NO2;NO3;NOx
;;Meter;°C;;µmol/l;µmol/l;µmol/l
02.01.2004;7:34;2.9061503410339355;6.940838489532471;33.379343872070315;0.45713910073041913;2.7918967068195344;11.768143882751465
05.01.2004;14:10;2.931980142226586;6.891149245775663;33.308384088369515;0.3856639308998218;3.214649091546352;11.648536131932186
06.01.2004;9:05;2.9505090890107333;6.8468180409184205;33.24626611780237;0.3151754226397585;3.666235077160376;11.469804145671704
07.01.2004;8:30;2.9679561257362366;6.804562943322318;33.198177746364046;0.24612310076398508;4.050510714096682;11.300776158060346
08.01.2004;9:00;2.9850647860559922;6.765611697887552;33.16444567976327;0.1788711915242261;4.366885383581293;11.14341298465071
09.01.2004;8:41;3.0028796911239626;6.728428936004638;33.17156931559245;0.10753675277034441;4.53690201540788;11.002151314417521
12.01.2004;8:35;3.024074985134986;6.690972097458378;33.1623040476153;0.04403713417630042;4.776099882779583;10.865601370411534
13.01.2004;7:55;3.048567719757557;6.650134444236755;33.14142954349518;-0.01184969418682158;5.075366825796664;10.742052257061005
14.01.2004;8:10;3.0739696242592554;6.606291843183113;33.11077557188092;-0.060188066101435456;5.390310086084135;10.636755365313906
15.01.2004;8:45;3.1021483224980972;6.562383399290197;33.08557768429027;-0.10720859577550608;5.685087962185635;10.5318841232973
16.01.2004;8:15;3.141796180180141;6.514540563310896;33.06943446568081;-0.15503070375749042;5.950167711291995;10.414683096749442
19.01.2004;8:35;3.1882579061720104;6.468696898884243;33.056798193189834;-0.19589083082973957;6.159241862595081;10.305566946665445
20.01.2004;9:00;3.2388638676823795;6.4246006527462525;33.04765969353753;-0.22937245969031309;6.321808609608057;10.195860166807432
21.01.2004;7:50;3.2965882577394185;6.378399610519409;33.04455235129908;-0.2553802793355365;6.479559246646731;10.088388405348125
22.01.2004;8:15;3.3459924917954664;6.3380399361634865;33.03495749449119;-0.28067549700156236;6.620299364511784;9.96921128493089
23.01.2004;8:35;3.379916799068451;6.293810689449311;33.01018667221069;-0.3031078787520528;6.775861693173647;9.834724009037018
27.01.2004;7:50;3.4333949089050293;6.237980168040206;32.997258628286964;-0.31561307372843345;6.867703810697648;9.764503595305651
28.01.2004;8:25;3.475988444827852;6.181848367055257;32.988086609613326;-0.3173993792207468;7.160964716758047;9.823509783971877
29.01.2004;7:25;3.51837028459061;6.130494888438735;32.976505368254905;-0.3177601447285608;7.453284175590027;9.884996480719987
30.01.2004;8:05;3.5601995316418735;6.083305635235527;32.962679082697086;-0.31644809737124224;7.746122122488239;9.95229003646157
02.02.2004;7:50;3.6015946176317004;6.039788484573364;32.94683965047201;-0.3135077173511187;8.037827916277779;10.026712777879503
04.02.2004;7:20;3.6203846205835757;6.013522474662118;32.933504021686055;-0.30970800781379576;8.22423058035581;10.171733089115309
05.02.2004;8:05;3.636199098952273;5.986998573262641;32.90902742426446;-0.3004591106734377;8.484714041999046;10.328831145103942
06.02.2004;7:30;3.6404801458120346;5.964951083064079;32.8778026898702;-0.2864787233993411;8.764986773952842;10.506265064080557
09.02.2004;14:30;3.6515374134997933;5.9437302715924325;32.8476021435796;-0.27666049070504245;9.021355006767779;10.675865309579033
10.02.2004;8:55;3.664278702735901;5.933274731636048;32.83269302368164;-0.28309509009122846;9.219392681717872;10.826994762420654
11.02.2004;8:25;3.7064718437194824;5.867108435630798;32.819233360290525;-0.3206996539235115;9.574158983826637;10.941150588989258
12.02.2004;7:25;3.746285457611084;5.805194659233093;32.80462860107422;-0.3529288586974144;10.007763367295265;11.113723373413086
13.02.2004;7:10;3.7853181648254393;5.7470548677444455;32.79069675445557;-0.3815019528567791;10.495535059571266;11.322804718017577
16.02.2004;8:07;3.8249626636505125;5.684297022819519;32.77994548797607;-0.4091270589828491;10.915845814347268;11.531945533752442
17.02.2004;8:00;3.8643419885635377;5.610655941963196;32.77384510040283;-0.43497494474053383;11.285665770173074;11.740002403259277
18.02.2004;7:40;3.904938163757324;5.538927502632141;32.76175609588623;-0.45943045750260353;11.708163815140724;11.940680046081543
19.02.2004;6:42;3.9468784093856812;5.469216523170471;32.745212364196775;-0.4819768036901951;12.192471933960915;12.134435539245606
20.02.2004;8:35;3.98765323638916;5.40596992969513;32.726834831237795;-0.5023559565842152;12.734959812760353;12.34174072265625
23.02.2004;8:59;3.987203526496887;5.362940106391907;32.71923328399658;-0.519131420403719;13.589131076931954;12.576580066680908
24.02.2004;8:30;3.9787503910064697;5.326872696876526;32.69496593475342;-0.5364892716705799;14.37981168448925;12.752602481842041
25.02.2004;8:30;3.9732617950439453;5.29725878238678;32.65595119476318;-0.553127540498972;15.086067739129067;12.866027870178222
26.02.2004;8:20;3.9636625146865843;5.274665198326111;32.61588474273682;-0.5650100632011891;15.795625491738319;13.013268947601318
27.02.2004;7:00;3.9612009477615358;5.285536980628967;32.56027103424072;-0.5709479685127735;16.616256032586097;13.170769729614257
02.03.2004;8:05;3.958428907394409;5.31598888874054;32.47353519439697;-0.569869671612978;17.544603820443154;13.323094844818115
04.03.2004;7:20;3.9616376972198486;5.3533190870285035;32.35875568389893;-0.5615458525717258;18.611896968483926;13.508361778259278
08.03.2004;8:15;3.9592905473709106;5.399738717079162;32.24805442810059;-0.5506325083971023;19.67205714762211;13.693386573791503
09.03.2004;7:00;3.9435576391220093;5.4533558320999145;32.160357055664065;-0.5304934775829315;20.5708635365963;13.86525140762329
